Building_Age,Number_of_Floors,Total_Area,Number_of_Windows,Insulation_Type,Heating_System,Cooling_System,Energy_Consumption
66,20,89650,41,Fiberglass,Geothermal,Central AC,2903790.42
50,2,50394,386,Spray Foam,Boiler,None,3481031.36
19,31,31080,487,Fiberglass,Forced Air,Heat Pump,294025.67
5,34,69821,373,Polyurethane,Geothermal,Heat Pump,2902245.53
87,41,94271,423,Polyurethane,Boiler,Central AC,2106755.75
88,32,9706,354,Mineral Wool,Heat Pump,Central AC,358986.23
95,43,36596,17,Mineral Wool,Forced Air,None,3228660.94
61,49,12231,264,Cellulose,Boiler,None,902699.25
38,26,79619,489,Polyurethane,Forced Air,None,1396031.88
96,5,30998,295,Cellulose,Boiler,Evaporative,2256871.96
79,7,86192,401,Cellulose,Heat Pump,None,5742694.98
69,48,91294,178,Polyurethane,Boiler,Window Units,1581312.98
97,30,58687,175,Polyurethane,Forced Air,None,2324707.87
2,44,33188,94,Polyurethane,Boiler,Evaporative,1452363.05
44,26,99203,157,Cellulose,Boiler,Window Units,5220396.09
33,44,42764,343,Cellulose,Radiant,Evaporative,2302918.23
6,11,20293,133,Polyurethane,Radiant,Heat Pump,884132.63
27,1,79909,12,Fiberglass,Heat Pump,Heat Pump,3947045.83
83,48,8801,159,Spray Foam,Heat Pump,Window Units,696361.16
58,39,69078,80,Polyurethane,Geothermal,Evaporative,1136097.75
83,14,84290,23,Fiberglass,Heat Pump,None,4183180.93
5,10,91027,303,Spray Foam,Boiler,None,1758302.99
78,50,38756,12,Cellulose,Boiler,Heat Pump,1858138.75
29,39,75164,474,Fiberglass,Boiler,Heat Pump,2169419.33
1,49,7655,144,Polyurethane,Boiler,Heat Pump,329460.71
58,39,64397,423,Polyurethane,Heat Pump,Heat Pump,4939444.63
33,22,1210,55,Polyurethane,Geothermal,Evaporative,8927.7
93,37,17978,304,Spray Foam,Forced Air,Heat Pump,1209215.37
75,46,8217,27,Spray Foam,Radiant,Window Units,535276.61
53,1,83224,174,Spray Foam,Geothermal,None,2540254.11
48,6,93063,74,Fiberglass,Boiler,Window Units,1439390.72
87,24,44206,435,Mineral Wool,Boiler,Window Units,2609583.69
2,22,94675,381,Mineral Wool,Geothermal,None,1168862.04
14,30,35874,349,Polyurethane,Forced Air,Heat Pump,1545340.27
36,40,42453,293,Fiberglass,Radiant,Heat Pump,447681.2
3,20,89163,336,Mineral Wool,Radiant,Central AC,4341856.85
55,39,35794,210,Polyurethane,Geothermal,Central AC,1799089.96
79,38,78239,158,Fiberglass,Boiler,Evaporative,5341762.83
2,33,66766,94,Cellulose,Forced Air,Central AC,891121.94
58,43,3923,24,Spray Foam,Forced Air,Central AC,224454.99
57,9,80081,151,Mineral Wool,Geothermal,Evaporative,5594119.44
30,13,62214,88,Polyurethane,Heat Pump,Central AC,1637333.09
22,25,36308,176,Polyurethane,Boiler,Heat Pump,1789467.51
25,35,84819,434,Cellulose,Radiant,Evaporative,1073461.07
2,29,94083,89,Fiberglass,Boiler,Central AC,2838238.29
80,22,76379,485,Fiberglass,Heat Pump,Window Units,6402510.93
18,5,80054,465,Mineral Wool,Geothermal,Evaporative,4119541.65
32,26,34308,396,Spray Foam,Forced Air,Evaporative,1920492.47
31,37,86249,33,Polyurethane,Forced Air,None,2739385.48
48,22,15026,46,Polyurethane,Forced Air,Central AC,509323.45
33,41,64480,162,Fiberglass,Forced Air,Central AC,2245513.51
99,43,94211,428,Cellulose,Radiant,Heat Pump,4240841.85
25,36,64018,334,Polyurethane,Geothermal,Evaporative,2461692.61
3,8,64143,458,Fiberglass,Radiant,None,1282883.33
99,9,97908,65,Mineral Wool,Forced Air,Heat Pump,5063015.78
13,18,53951,440,Polyurethane,Geothermal,Window Units,524760.45
100,8,48040,289,Spray Foam,Geothermal,Central AC,927965.37
26,7,12312,60,Spray Foam,Geothermal,None,227384.58
74,32,78942,388,Mineral Wool,Heat Pump,Heat Pump,5479583.31
49,7,97321,25,Mineral Wool,Boiler,Window Units,3820868.75
8,19,53491,178,Fiberglass,Geothermal,Central AC,2189588.11
83,25,35511,397,Cellulose,Boiler,None,595565.81
27,18,36001,409,Mineral Wool,Forced Air,Heat Pump,2218703.94
8,3,91333,260,Fiberglass,Forced Air,Heat Pump,3759624.23
84,42,39111,372,Polyurethane,Boiler,Heat Pump,3403671.37
87,11,90944,425,Fiberglass,Radiant,Evaporative,7818969.73
37,49,15778,205,Mineral Wool,Boiler,Heat Pump,979831.54
90,19,44157,292,Fiberglass,Geothermal,Evaporative,3972034.08
76,44,16331,395,Mineral Wool,Boiler,Evaporative,884103.44
52,27,44207,370,Mineral Wool,Geothermal,Central AC,2281052.84
6,10,17157,339,Fiberglass,Heat Pump,Window Units,215078.25
49,38,91557,15,Fiberglass,Heat Pump,Window Units,2903701.65
89,41,12502,176,Mineral Wool,Forced Air,Evaporative,373494.23
48,27,24890,109,Mineral Wool,Geothermal,Heat Pump,1574363.09
89,12,99158,255,Polyurethane,Forced Air,Central AC,2493332.24
72,26,88729,131,Spray Foam,Heat Pump,None,6107102.79
89,48,83547,362,Fiberglass,Heat Pump,None,806089.94
65,2,34581,461,Mineral Wool,Heat Pump,Heat Pump,1216056.9
36,38,31058,257,Cellulose,Boiler,Evaporative,1335882.05
43,48,53070,25,Cellulose,Geothermal,Central AC,1119585.74
12,23,86196,458,Fiberglass,Geothermal,Heat Pump,3296299.22
17,46,83090,66,Cellulose,Radiant,Central AC,725265.18
22,27,92667,300,Cellulose,Geothermal,None,1558891.22
83,28,97769,109,Fiberglass,Heat Pump,Heat Pump,8689702.17
100,2,20418,342,Polyurethane,Heat Pump,Evaporative,355111.32
42,44,99473,480,Fiberglass,Boiler,None,6879726.55
13,10,96319,53,Cellulose,Radiant,None,2141451.53
42,48,43692,209,Cellulose,Radiant,Central AC,553718.87
19,25,92929,56,Fiberglass,Forced Air,None,1178137.6
87,50,9499,137,Fiberglass,Geothermal,Evaporative,651272.51
100,50,3080,119,Mineral Wool,Radiant,Evaporative,240706.77
79,26,37777,435,Cellulose,Boiler,Central AC,2086363.23
70,48,42860,448,Polyurethane,Geothermal,None,1836371.25
38,44,89014,81,Mineral Wool,Geothermal,Heat Pump,3576715.27
6,5,40030,279,Mineral Wool,Forced Air,Heat Pump,1669194.48
83,16,32025,324,Mineral Wool,Radiant,None,641849.55
58,12,63580,215,Polyurethane,Boiler,Central AC,2647983.11
44,3,5342,229,Cellulose,Heat Pump,Window Units,126120.23
71,6,77535,422,Fiberglass,Geothermal,Evaporative,1551749.69
43,5,9609,146,Polyurethane,Geothermal,None,323623.25
95,35,82599,46,Spray Foam,Geothermal,Central AC,6122599.57
100,13,44739,411,Mineral Wool,Boiler,Evaporative,1551328.45
14,21,34384,363,Fiberglass,Radiant,Heat Pump,1869492.62
7,32,47555,412,Spray Foam,Forced Air,Window Units,1223973.58
77,2,74500,365,Polyurethane,Geothermal,Heat Pump,2037707.36
21,32,85803,282,Fiberglass,Radiant,None,1868990.92
48,44,73931,92,Spray Foam,Forced Air,None,1477196.63
78,46,98155,488,Spray Foam,Boiler,None,8561848.26
25,35,81419,75,Cellulose,Geothermal,None,4125723.84
92,50,81494,279,Mineral Wool,Radiant,Central AC,7286928.81
100,39,13171,445,Spray Foam,Boiler,Central AC,374543.52
28,25,88976,107,Polyurethane,Radiant,Heat Pump,1557837.69
32,21,17620,243,Fiberglass,Radiant,Evaporative,930195.78
28,33,8252,154,Spray Foam,Forced Air,Window Units,340682.56
1,11,6723,361,Fiberglass,Geothermal,None,307957.53
42,21,9684,400,Fiberglass,Boiler,Evaporative,567506.07
100,11,85865,414,Spray Foam,Heat Pump,Heat Pump,2527045.77
75,49,55239,227,Cellulose,Boiler,Central AC,2758206.09
43,35,54635,58,Cellulose,Geothermal,Window Units,1311978.25
10,20,55521,236,Cellulose,Radiant,Central AC,2621845.33
72,39,65436,421,Polyurethane,Boiler,Heat Pump,3883336.81
3,21,2349,158,Mineral Wool,Forced Air,Central AC,37742.73
81,34,92922,228,Spray Foam,Geothermal,Evaporative,2711394.52
48,33,13986,67,Fiberglass,Heat Pump,Evaporative,179416.53
29,20,16680,382,Spray Foam,Heat Pump,Heat Pump,627470.05
45,44,9361,414,Polyurethane,Heat Pump,Heat Pump,170685.65
31,6,36470,460,Mineral Wool,Geothermal,Evaporative,2204277.28
5,8,47727,175,Mineral Wool,Radiant,None,389274.64
35,20,63392,142,Fiberglass,Geothermal,Central AC,603002.15
11,14,62108,464,Fiberglass,Boiler,None,1748133.57
90,47,25581,239,Cellulose,Heat Pump,None,267188.3
58,19,88583,372,Fiberglass,Heat Pump,Central AC,4385438.68
95,34,84472,94,Polyurethane,Boiler,Central AC,8111857.88
54,37,66887,107,Mineral Wool,Radiant,Window Units,3562920.42
10,11,60167,441,Fiberglass,Geothermal,Heat Pump,2307760.47
89,38,8658,59,Polyurethane,Boiler,None,263081.81
76,24,35134,100,Polyurethane,Geothermal,Evaporative,2094182.72
10,18,49669,362,Mineral Wool,Geothermal,Window Units,573724.83
67,20,18753,258,Spray Foam,Geothermal,Evaporative,717832.31
86,48,11651,475,Mineral Wool,Radiant,Window Units,500067.59
98,48,66754,169,Spray Foam,Radiant,None,3266290.41
40,15,30775,153,Fiberglass,Radiant,Central AC,1928434.83
57,14,21017,249,Cellulose,Geothermal,Evaporative,417384.8
52,30,95132,166,Polyurethane,Forced Air,Evaporative,5891346.42
46,8,45767,400,Mineral Wool,Boiler,None,1457243.04
54,27,61032,178,Spray Foam,Heat Pump,None,2870316.19
39,37,20998,353,Spray Foam,Boiler,Window Units,655977.72
47,15,24832,83,Spray Foam,Radiant,Heat Pump,918293.86
39,11,85348,132,Cellulose,Radiant,Central AC,913535.43
91,33,68772,47,Fiberglass,Boiler,None,4260557.94
66,36,26865,368,Polyurethane,Radiant,Heat Pump,1648714.75
75,25,60451,493,Mineral Wool,Heat Pump,None,3656656.28
87,12,74330,196,Mineral Wool,Boiler,Window Units,5037790.01
48,41,18411,18,Mineral Wool,Heat Pump,Central AC,528665.95
15,41,90864,471,Cellulose,Radiant,None,5038688.28
78,14,83657,165,Polyurethane,Heat Pump,Central AC,4668130.58
18,38,2271,475,Spray Foam,Geothermal,Central AC,17642.96
10,29,6835,400,Polyurethane,Radiant,Evaporative,197009.48
84,2,33112,59,Mineral Wool,Heat Pump,Evaporative,1704002.62
11,3,97319,491,Spray Foam,Radiant,Window Units,4981438.46
21,1,55599,141,Polyurethane,Forced Air,Central AC,1249129.9
49,39,44436,337,Polyurethane,Geothermal,Central AC,487571.51
26,4,53090,484,Fiberglass,Geothermal,Heat Pump,933019.3
24,48,38761,40,Fiberglass,Heat Pump,Central AC,1890882.09
4,49,26442,80,Mineral Wool,Heat Pump,Window Units,1211136.7
64,6,15539,80,Cellulose,Geothermal,Evaporative,317504.74
48,17,70275,283,Cellulose,Boiler,None,4913626.49
79,1,22746,462,Fiberglass,Heat Pump,Central AC,526189.23
91,1,37794,379,Cellulose,Forced Air,Heat Pump,1025106.06
17,45,36057,34,Fiberglass,Geothermal,None,322580.1
64,2,58594,379,Spray Foam,Geothermal,Central AC,1899065.91
77,47,41652,194,Cellulose,Geothermal,Evaporative,991526.35
65,42,19126,83,Spray Foam,Heat Pump,Window Units,706496.89
8,18,38520,430,Fiberglass,Forced Air,Heat Pump,1746012.18
46,12,47000,165,Cellulose,Radiant,Central AC,2489613.0
6,26,62306,466,Polyurethane,Geothermal,Heat Pump,3011495.48
7,39,6270,355,Fiberglass,Boiler,Evaporative,106717.73
70,32,31366,460,Polyurethane,Radiant,Window Units,826577.71
81,47,31972,156,Polyurethane,Heat Pump,Window Units,2531295.56
92,42,40112,226,Spray Foam,Geothermal,Window Units,1723955.14
41,16,58833,158,Fiberglass,Heat Pump,Heat Pump,1949946.03
18,4,32326,343,Fiberglass,Geothermal,Central AC,773333.41
95,10,11061,147,Spray Foam,Geothermal,Evaporative,614226.56
73,2,3213,361,Cellulose,Boiler,Evaporative,270336.65
29,40,76752,79,Cellulose,Boiler,None,2103374.47
54,45,85811,145,Cellulose,Boiler,Evaporative,4937989.99
66,38,84558,47,Spray Foam,Heat Pump,None,3875895.55
58,7,61509,146,Cellulose,Radiant,Central AC,3317237.31
48,48,33543,149,Mineral Wool,Boiler,Window Units,1922515.77
96,37,56230,414,Spray Foam,Geothermal,Window Units,1728413.73
76,17,19462,91,Mineral Wool,Forced Air,Central AC,353969.24
10,29,1350,373,Fiberglass,Forced Air,Evaporative,64579.79
52,15,91616,163,Fiberglass,Heat Pump,Window Units,2178128.47
19,29,22319,157,Cellulose,Boiler,Central AC,1110267.04
83,47,73152,153,Fiberglass,Forced Air,Central AC,2287201.68
18,5,43219,342,Mineral Wool,Boiler,Window Units,275181.46
79,38,49352,163,Cellulose,Heat Pump,Heat Pump,494813.23
12,2,58772,483,Mineral Wool,Forced Air,Heat Pump,501050.31
35,6,39298,466,Fiberglass,Forced Air,Evaporative,1581481.99
79,45,79307,33,Fiberglass,Boiler,Evaporative,2566581.76
21,6,50013,352,Mineral Wool,Boiler,Heat Pump,1234685.7
39,9,88814,491,Cellulose,Boiler,Window Units,1503276.54
82,43,59940,496,Polyurethane,Forced Air,Central AC,5136229.0
48,21,20026,223,Fiberglass,Forced Air,None,813808.32
46,35,84371,269,Cellulose,Radiant,Heat Pump,2320253.23
68,20,7141,191,Cellulose,Radiant,Window Units,226485.54
45,9,13823,285,Polyurethane,Geothermal,Window Units,855238.22
10,14,32947,216,Cellulose,Forced Air,None,712514.45
45,40,85116,207,Spray Foam,Forced Air,None,2525285.13
30,7,69607,230,Spray Foam,Heat Pump,None,2588175.55
70,37,20389,253,Mineral Wool,Radiant,Window Units,190977.59
96,2,79045,140,Polyurethane,Heat Pump,Window Units,6244043.47
86,34,33528,201,Cellulose,Forced Air,None,1537128.18
92,1,86940,317,Cellulose,Forced Air,None,5319040.19
52,34,74294,71,Cellulose,Boiler,Central AC,911465.44
16,24,34842,127,Mineral Wool,Boiler,None,1559634.87
88,28,19312,329,Fiberglass,Heat Pump,Window Units,696182.54
83,48,4013,280,Spray Foam,Forced Air,Central AC,132002.9
5,28,93178,415,Polyurethane,Boiler,Heat Pump,3055373.84
23,49,31024,207,Polyurethane,Geothermal,Evaporative,772520.91
74,34,63101,392,Fiberglass,Radiant,Central AC,3299714.24
4,31,62430,68,Mineral Wool,Heat Pump,Window Units,2222624.03
78,30,3694,364,Spray Foam,Radiant,Window Units,228579.88
14,6,82878,475,Spray Foam,Forced Air,Heat Pump,2263187.78
1,18,50281,223,Fiberglass,Heat Pump,Heat Pump,1944985.07
77,7,9093,124,Cellulose,Radiant,Central AC,727524.77
48,50,18943,496,Mineral Wool,Boiler,Evaporative,357897.08
12,43,56265,158,Fiberglass,Boiler,Evaporative,1516574.58
97,24,47657,124,Fiberglass,Geothermal,Window Units,2211612.4
91,33,58432,265,Cellulose,Heat Pump,None,4683369.78
10,46,11268,210,Mineral Wool,Geothermal,Evaporative,483632.49
63,10,29748,465,Polyurethane,Geothermal,None,1927617.38
79,21,66560,451,Cellulose,Radiant,Heat Pump,5246496.25
40,12,73939,101,Cellulose,Geothermal,Central AC,4151029.07
82,16,84795,282,Fiberglass,Geothermal,Central AC,4168030.99
33,21,24066,477,Cellulose,Boiler,Central AC,582252.36
69,13,78058,104,Polyurethane,Heat Pump,Heat Pump,1444251.42
24,21,96754,251,Polyurethane,Forced Air,None,5236122.79
72,29,77716,376,Cellulose,Forced Air,Central AC,3217873.94
2,45,19538,96,Fiberglass,Geothermal,Central AC,796535.7
8,38,42873,212,Spray Foam,Boiler,Window Units,763553.41
81,47,34154,88,Fiberglass,Radiant,Window Units,2974969.45
18,12,90346,104,Polyurethane,Radiant,None,1959922.4
50,14,8911,466,Cellulose,Boiler,Window Units,382588.12
34,23,65405,289,Cellulose,Geothermal,None,869143.31
29,25,89721,394,Mineral Wool,Radiant,Central AC,4622618.91
19,22,9093,187,Mineral Wool,Radiant,Heat Pump,323658.58
54,2,44771,449,Cellulose,Geothermal,Central AC,1804071.43
40,17,62029,355,Mineral Wool,Radiant,Heat Pump,3556878.67
2,8,83580,36,Mineral Wool,Forced Air,Central AC,1403413.63
61,31,24996,56,Mineral Wool,Forced Air,None,1900147.9
80,32,35523,34,Polyurethane,Heat Pump,Evaporative,2235713.88
75,14,92030,399,Spray Foam,Boiler,None,6308328.76
36,33,66227,435,Fiberglass,Radiant,Central AC,2440080.18
30,2,66218,186,Mineral Wool,Geothermal,None,3729824.88
65,5,73243,160,Cellulose,Boiler,None,2904096.51
52,22,84161,59,Cellulose,Forced Air,Window Units,752696.53
17,5,81460,145,Fiberglass,Forced Air,Heat Pump,1395561.57
30,24,96718,127,Fiberglass,Boiler,Heat Pump,3212348.84
82,50,81494,242,Mineral Wool,Geothermal,Evaporative,4661692.61
89,7,7937,50,Spray Foam,Heat Pump,None,547396.65
23,16,96672,96,Cellulose,Geothermal,Heat Pump,5389700.32
93,7,4408,255,Fiberglass,Forced Air,None,219216.85
99,16,79785,351,Cellulose,Radiant,Window Units,6488646.24
36,30,71184,428,Cellulose,Forced Air,Evaporative,2124912.21
72,39,29528,305,Spray Foam,Forced Air,Evaporative,1672335.02
60,23,11191,67,Polyurethane,Radiant,Heat Pump,853721.33
100,4,46895,235,Fiberglass,Boiler,None,4649576.43
48,28,51254,30,Polyurethane,Forced Air,Central AC,892722.35
45,21,79267,427,Cellulose,Boiler,Window Units,3589120.39
87,5,33752,196,Spray Foam,Geothermal,Heat Pump,1115259.82
92,25,27884,346,Cellulose,Boiler,Evaporative,429014.45
65,26,29003,318,Spray Foam,Heat Pump,Evaporative,501972.88
92,6,29066,121,Fiberglass,Forced Air,Evaporative,358973.52
90,32,83824,238,Spray Foam,Boiler,None,6635705.93
49,36,73085,205,Cellulose,Heat Pump,Heat Pump,4508543.74
68,39,69493,144,Cellulose,Geothermal,None,1022148.14
36,33,18917,191,Polyurethane,Radiant,Heat Pump,1162333.43
32,8,45177,284,Cellulose,Boiler,Evaporative,1860353.07
52,18,46448,265,Mineral Wool,Geothermal,None,729436.77
29,42,17683,190,Mineral Wool,Forced Air,None,326049.64
13,27,90340,352,Polyurethane,Forced Air,Window Units,4337648.36
55,31,97599,333,Mineral Wool,Forced Air,Central AC,1335151.48
35,50,7775,410,Cellulose,Geothermal,None,127804.18
14,9,26205,483,Polyurethane,Boiler,Evaporative,1173594.71
97,28,37059,363,Mineral Wool,Geothermal,Heat Pump,2635496.3
35,1,78417,309,Mineral Wool,Radiant,None,1395138.84
97,27,3125,482,Cellulose,Heat Pump,Central AC,270028.95
85,25,16299,72,Fiberglass,Heat Pump,Central AC,573942.06
17,25,71336,312,Mineral Wool,Heat Pump,Central AC,3093349.04
88,5,14755,394,Fiberglass,Forced Air,Heat Pump,724620.44
58,22,83984,347,Fiberglass,Heat Pump,None,5493837.74
69,2,82435,447,Cellulose,Forced Air,Heat Pump,2712237.64
2,6,80088,208,Spray Foam,Heat Pump,Heat Pump,1303441.27
84,14,47668,432,Fiberglass,Geothermal,Evaporative,2448566.82
63,30,92092,42,Polyurethane,Boiler,None,3827356.65
8,21,76785,395,Mineral Wool,Geothermal,Heat Pump,703700.39
90,15,80318,29,Fiberglass,Radiant,None,6257886.1
28,7,54798,240,Spray Foam,Radiant,Evaporative,2589822.69
14,23,30870,402,Fiberglass,Geothermal,Central AC,304050.71
100,26,27310,328,Fiberglass,Geothermal,None,2529341.11
81,29,91961,124,Cellulose,Heat Pump,None,5881003.46
82,47,99457,368,Fiberglass,Heat Pump,None,5584987.01
50,43,44018,465,Mineral Wool,Geothermal,Window Units,2633615.06
37,37,3530,377,Polyurethane,Geothermal,Evaporative,37678.91
54,42,32967,318,Cellulose,Radiant,Central AC,459069.69
28,7,53083,170,Mineral Wool,Heat Pump,Heat Pump,1929553.2
63,47,86602,93,Fiberglass,Radiant,Evaporative,6307226.77
66,12,56377,81,Cellulose,Radiant,Central AC,1150934.4
8,23,31532,403,Fiberglass,Heat Pump,Window Units,1682302.2
30,12,40810,438,Cellulose,Radiant,None,1632176.87
22,2,7627,418,Polyurethane,Heat Pump,Central AC,190282.11
46,6,5682,87,Fiberglass,Geothermal,Central AC,156958.77
94,49,36400,483,Spray Foam,Radiant,Central AC,1214049.8
36,44,65117,394,Mineral Wool,Heat Pump,Evaporative,3982222.71
80,6,51673,274,Polyurethane,Radiant,Window Units,1195540.9
55,21,18714,457,Spray Foam,Forced Air,Central AC,1213708.58
35,34,3053,373,Fiberglass,Radiant,Evaporative,107244.0
87,47,5997,78,Spray Foam,Heat Pump,Window Units,551806.02
61,49,41659,287,Polyurethane,Geothermal,Central AC,2576154.35
60,48,25525,275,Spray Foam,Boiler,Window Units,412735.71
27,11,73951,465,Fiberglass,Radiant,Central AC,3754490.55
95,32,74158,275,Mineral Wool,Boiler,Evaporative,3998752.43
37,20,97683,159,Polyurethane,Heat Pump,Evaporative,1423635.58
18,22,21420,498,Fiberglass,Radiant,Heat Pump,558565.76
97,49,75182,242,Spray Foam,Forced Air,Central AC,6019555.82
49,29,39650,356,Spray Foam,Radiant,Window Units,2284227.32
40,1,2487,93,Fiberglass,Radiant,Heat Pump,18810.87
59,4,97517,113,Fiberglass,Heat Pump,Evaporative,2835227.92
22,21,17449,467,Polyurethane,Geothermal,None,351451.87
22,23,76828,420,Cellulose,Radiant,Evaporative,4596321.65
84,20,57208,121,Cellulose,Geothermal,Evaporative,2639154.38
41,25,5732,445,Fiberglass,Boiler,Window Units,262845.64
40,14,48789,340,Cellulose,Boiler,Heat Pump,3282427.9
76,36,12999,460,Cellulose,Boiler,None,651012.64
66,47,47702,85,Mineral Wool,Geothermal,None,425938.66
88,33,87723,121,Mineral Wool,Geothermal,Evaporative,6928283.96
5,27,10189,230,Cellulose,Boiler,Evaporative,347116.97
57,3,7287,175,Fiberglass,Geothermal,Central AC,125736.79
61,27,91151,275,Polyurethane,Forced Air,None,4881192.27
93,4,73964,107,Cellulose,Geothermal,Evaporative,5098685.78
2,32,35131,361,Fiberglass,Geothermal,None,1667995.76
17,32,3785,369,Mineral Wool,Geothermal,Central AC,55747.52
25,9,27971,180,Fiberglass,Radiant,Evaporative,1168444.77
54,29,64850,107,Cellulose,Heat Pump,Heat Pump,3250696.58
35,17,91621,148,Spray Foam,Radiant,Heat Pump,1206426.63
13,21,85270,248,Cellulose,Forced Air,Central AC,2834332.75
47,31,88953,230,Mineral Wool,Radiant,Heat Pump,5084147.64
75,18,27508,440,Cellulose,Radiant,Evaporative,1128520.34
61,18,69424,238,Cellulose,Forced Air,Heat Pump,3952662.58
13,9,9911,10,Cellulose,Forced Air,Evaporative,274459.3
